Q1_Age,Q2_Gender,Q3_Residential_Status,Q4_Emirate,Q5_Employment_Status,Q6_Monthly_Income_AED,Q7_Education_Level,Q8_Marital_Status,Q9_Household_Size,Q10_Have_Children,Q11_Play_Video_Games,Q12_Gaming_Platforms,Q13_Game_Types_Preferred,Q14_Gaming_Frequency,Q15_Hours_Per_Week,Q16_Primary_Gaming_Location,Q17_Gaming_Cafe_Visits_Past_12mo,Q18_Typical_Spend_Per_Visit_AED,Q19_Gaming_Companions,Q20_Gaming_Motivations,Q21_Social_Aspect_Importance,Q22_Leisure_Activity_Frequency,Q23_Leisure_Venues_Visited,Q24_Preferred_Visit_Time,Q25_Preferred_Visit_Duration,Q26_Food_Quality_Importance,Q27_Food_Service_Preference,Q28_Italian_Food_Preferences,Q29_Chinese_Food_Preferences,Q30_Beverage_Preferences,Q31_Snack_Preferences,Q32_FB_Spending_Per_Session_AED,Q33_Pricing_Model_Preference,Q34_WTP_Standard_Setup_AED_Per_Hour,Q35_WTP_Premium_Setup_AED_Per_Hour,Q36_Monthly_Membership_WTP_AED,Q37_Total_WTP_Per_Visit_AED,Q38_Price_Sensitivity,Q39_WTP_Premium_For_Fusion,Q40_Feature_Importance_Top5,Q41_Private_Room_Interest,Q42_Special_Services_Interest,Q43_Loyalty_Program_Interest,Q44_Location_Factors_Top3,Q45_Interest_In_Concept,Q46_Primary_Reason_For_Interest,Q47_Expected_Visit_Frequency,Q48_Would_Recommend,Q49_Biggest_Attraction,Q50_Concerns_Hesitations,Q51_Competitive_Advantage,Q52_Additional_Suggestions
25-34,Female,Expat (Working Professional),Dubai,Full-time employed,"10,001 - 20,000",Master's degree,Married,2,"Yes, under 12 years old","Yes, occasionally (few times a month)",PlayStation (PS4/PS5); Xbox (One/Series X/S); Tablet gaming,"Strategy games (League of Legends, Dota 2, StarCraft); First-person shooters (Call of Duty, Valorant, CS:GO)",2-3 times per month,2-5 hours,At a friend's place,Never,Haven't visited,Friends (online),Skill improvement; Stress relief/Relaxation; Social interaction,Moderately important,Multiple times per week,Gaming cafes/lounges; Bowling alleys/Entertainment centers; Libraries/Co-working spaces; Restaurants; Cinemas; Board game cafes,Weekends any time; Afternoon (12 PM - 5 PM),1-2 hours,Moderately important,Mix of quick bites and proper meals,"Risotto; Caprese Salad; Italian Coffee (Espresso, Cappuccino)",General Tso's Chicken; Spring Rolls; Stir-fried Vegetables,Water; Fresh juices,Candy/Chocolate; Chips/Crisps,51-75 AED,Monthly membership (unlimited access),26-35 AED,30-45 AED,Not interested in membership,50-100 AED,Very price sensitive - I look for best deals and discounts,Maybe/Depends on quality,"Fast and stable internet connection; Strategic location and accessibility; Comfortable seating and ergonomic setup; Tournament hosting and events; High-end gaming hardware (latest GPUs, processors)","Maybe, depends on pricing",Kids gaming hours; Esports coaching/Training sessions,Not at all likely,Safe neighborhood; Ample parking availability; Close to my home/workplace,Moderately interested - I would try it out and visit occasionally,Love the social-first approach,Once a month,Maybe,Combination of everything,Prefer gaming at home; Pricing might be too high,Premium experience worth the price,None
18-24,Male,Expat (Student),Ajman,Student,"Below 5,000",Bachelor's degree,Single,1 (Live alone),No,"Yes, occasionally (few times a month)",Tablet gaming,"Strategy games (League of Legends, Dota 2, StarCraft); Simulation games (The Sims, Cities Skylines); Fighting games (Street Fighter, Mortal Kombat, Tekken)",Once a week,6-10 hours,Other,Never,Haven't visited,Alone; Romantic partner; Friends (in-person),Entertainment/Fun; Escapism/Immersion; Stress relief/Relaxation,Extremely important - gaming is mainly social for me,Multiple times per week,Gaming cafes/lounges; Malls/Shopping centers; Sports/Fitness centers; Shisha cafes,Morning (8 AM - 12 PM); Late night (9 PM - 2 AM); Weekends any time,2-3 hours,Very important,Mix of quick bites and proper meals,Pasta Alfredo; Tiramisu; Vegetarian Pizza; Meat Lovers Pizza; Risotto; Garlic Bread,Orange Chicken; Kung Pao Chicken; Noodle Soup; Manchurian (Chicken/Vegetable),"Tea (Regular/Specialty); Soft drinks (Coca-Cola, Pepsi, Sprite); Specialty coffee drinks (Frappuccino, Latte); Energy drinks (Red Bull, Monster)",Chicken wings/tenders; Sandwiches/Wraps; Popcorn; Pretzels,26-50 AED,"Fixed session pricing (e.g., 80 AED for 2 hours)",15-25 AED,30-45 AED,Not interested in membership,101-150 AED,Very price sensitive - I look for best deals and discounts,Maybe/Depends on quality,"High-end gaming hardware (latest GPUs, processors); Quality food and beverage options; Knowledgeable and helpful staff; Extended operating hours (24/7 or late night); Streaming/Content creation facilities","Yes, definitely - I'd use this regularly",Retro arcade section; Esports coaching/Training sessions,Not very likely,Close to my home/workplace; Surrounded by other F&B options; Near public transportation,Very interested - I would likely visit frequently,Finally a gaming cafe that's not just for hardcore gamers,2-3 times per month,Probably yes,Combination of everything,Location might not be convenient; Pricing might be too high,More comfortable and clean environment,Host regular tournaments
25-34,Male,Expat (Working Professional),Dubai,Student,"10,001 - 20,000",Bachelor's degree,Single,1 (Live alone),No,"Yes, occasionally (few times a month)",Tablet gaming; Xbox (One/Series X/S); Nintendo Switch,"Racing games (Gran Turismo, Forza); Strategy games (League of Legends, Dota 2, StarCraft); Battle Royale (Fortnite, PUBG, Apex Legends)",Once a week,2-5 hours,Multiple locations,2-5 times,0-50,Organized teams/Clans,Stress relief/Relaxation; Achievement/Progression; Competition and winning,Slightly important,Multiple times per week,Bowling alleys/Entertainment centers; Shisha cafes; Cinemas; Sports/Fitness centers,Evening (5 PM - 9 PM); Afternoon (12 PM - 5 PM),2-3 hours,Very important,Mix of quick bites and proper meals,"Tiramisu; Panna Cotta; Pasta Bolognese; Bruschetta; Meat Lovers Pizza; Garlic Bread; Italian Coffee (Espresso, Cappuccino); Gelato",Hot and Sour Soup; Dumplings/Momos (Steamed/Fried); Stir-fried Vegetables; Peking Duck; Sweet and Sour Chicken; Dim Sum; Fried Rice (Chicken/Beef/Vegetable/Shrimp); Manchurian (Chicken/Vegetable); Noodle Soup,Water; Fresh juices; Coffee (Hot/Iced),Cookies/Brownies; Candy/Chocolate; Fresh fruit,26-50 AED,"Pay per hour (e.g., 30-50 AED/hour)",26-35 AED,30-45 AED,Not interested in membership,50-100 AED,Neutral - I balance price with experience quality,Probably yes,Private gaming rooms/VIP areas; Tournament hosting and events; Streaming/Content creation facilities; Clean and well-maintained environment; Fast and stable internet connection,"Yes, occasionally for special occasions",Gaming leagues and ladders; Birthday party packages,Not very likely,Ample parking availability; Safe neighborhood; Surrounded by other F&B options,Moderately interested - I would try it out and visit occasionally,Italian and Chinese fusion sounds interesting,Once a month,Probably yes,Quality food and dining experience,Prefer gaming at home; Concerns about cleanliness/hygiene; Not enough variety in games,More comfortable and clean environment,Keep it clean and well-maintained
18-24,Female,Expat (Working Professional),Dubai,Full-time employed,"Above 50,000",Master's degree,Single,1 (Live alone),"Yes, above 18 years old","Yes, regularly (at least once a week)",Xbox (One/Series X/S); PC/Laptop,"Fighting games (Street Fighter, Mortal Kombat, Tekken); Racing games (Gran Turismo, Forza); First-person shooters (Call of Duty, Valorant, CS:GO); Retro/Classic arcade games; Battle Royale (Fortnite, PUBG, Apex Legends); Strategy games (League of Legends, Dota 2, StarCraft)",4-6 times per week,11-15 hours,Multiple locations,More than 10 times,151-200,Friends (in-person); Romantic partner; Friends (online),Entertainment/Fun; Social interaction; Story and narrative,Extremely important - gaming is mainly social for me,2-3 times per month,"Cinemas; Regular cafes (Starbucks, Costa, local cafes); Gaming cafes/lounges",Morning (8 AM - 12 PM); Late night (9 PM - 2 AM); Evening (5 PM - 9 PM),Half-day sessions,Extremely important - food quality is a deciding factor,Mix of quick bites and proper meals,"Vegetarian Pizza; Caprese Salad; Garlic Bread; Margherita Pizza; Italian Coffee (Espresso, Cappuccino); Meat Lovers Pizza; Pasta Carbonara",Manchurian (Chicken/Vegetable); Kung Pao Chicken; Spring Rolls; Hot and Sour Soup; Dumplings/Momos (Steamed/Fried); General Tso's Chicken,"Soft drinks (Coca-Cola, Pepsi, Sprite); Specialty coffee drinks (Frappuccino, Latte); Sports drinks (Gatorade, Powerade); Bubble tea; Energy drinks (Red Bull, Monster)",Nachos with dips; Sandwiches/Wraps; Pretzels; Fresh fruit; Candy/Chocolate,76-100 AED,"Pay per hour (e.g., 30-50 AED/hour)",36-45 AED,91-110 AED,901-1200 AED,301-400 AED,Not very price sensitive - I prioritize quality and experience,Definitely not,"Knowledgeable and helpful staff; Streaming/Content creation facilities; High-end gaming hardware (latest GPUs, processors); Tournament hosting and events; Comfortable seating and ergonomic setup","Yes, occasionally for special occasions","Ladies-only sessions; Esports coaching/Training sessions; Tournament participation (cash prizes, trophies); Gaming leagues and ladders",Very likely,Near public transportation; Surrounded by other F&B options; Safe neighborhood,Extremely interested - I would definitely visit regularly,Premium equipment is exactly what I'm looking for,Multiple times per week,Definitely yes,High-end gaming equipment,No major concerns,Strong community and events,None
45-54,Female,Expat (Working Professional),Sharjah,Full-time employed,"Above 50,000",Master's degree,Married with children,3-4,"Yes, multiple age groups","Yes, regularly (at least once a week)",PC/Laptop; Nintendo Switch,"Retro/Classic arcade games; VR games; Fighting games (Street Fighter, Mortal Kombat, Tekken); Sports games (FIFA, NBA 2K, F1)",4-6 times per week,11-15 hours,Multiple locations,More than 10 times,Above 200,Family members; Romantic partner; Alone,Competition and winning; Stress relief/Relaxation; Skill improvement,Moderately important,Multiple times per week,Libraries/Co-working spaces; Shisha cafes; Gaming cafes/lounges; Cinemas,Late night (9 PM - 2 AM); Evening (5 PM - 9 PM),3-4 hours,Moderately important,Mix of quick bites and proper meals,Risotto; Meat Lovers Pizza; Garlic Bread; Panna Cotta; Tiramisu,Dumplings/Momos (Steamed/Fried); General Tso's Chicken; Chow Mein; Kung Pao Chicken; Wontons,"Bubble tea; Tea (Regular/Specialty); Water; Coffee (Hot/Iced); Energy drinks (Red Bull, Monster)",Sandwiches/Wraps; Pretzels; Candy/Chocolate; Burgers/Sliders; Nachos with dips,76-100 AED,Pay for what you consume (food + gaming time),36-45 AED,Above 110 AED,701-900 AED,301-400 AED,Neutral - I balance price with experience quality,Probably yes,"High-end gaming hardware (latest GPUs, processors); Variety of gaming platforms (PC, PS5, Xbox, Switch); Fast and stable internet connection; Private gaming rooms/VIP areas; Quality food and beverage options","Maybe, depends on pricing","Corporate team-building events; Kids gaming hours; Tournament participation (cash prizes, trophies); Birthday party packages",Extremely likely,Close to my home/workplace; Safe neighborhood; Near public transportation,Extremely interested - I would definitely visit regularly,Pricing flexibility is attractive,2-3 times per month,Definitely yes,Combination of everything,Limited operating hours,More comfortable and clean environment,None
18-24,Female,Expat (Working Professional),Sharjah,Full-time employed,"35,001 - 50,000",Professional certification,Single,1 (Live alone),No,"Yes, regularly (at least once a week)",Xbox (One/Series X/S); PC/Laptop; Mobile gaming; PlayStation (PS4/PS5),"Sports games (FIFA, NBA 2K, F1); First-person shooters (Call of Duty, Valorant, CS:GO); RPG/Adventure (Elden Ring, Zelda, Final Fantasy); Casual/Party games (Mario Kart, Fall Guys, Among Us); Retro/Classic arcade games",4-6 times per week,11-15 hours,At home,Never,Haven't visited,Friends (online); Strangers/Online community; Family members,Social interaction; Entertainment/Fun; Escapism/Immersion,Extremely important - gaming is mainly social for me,Multiple times per week,Libraries/Co-working spaces; Malls/Shopping centers; Bowling alleys/Entertainment centers; Shisha cafes; Restaurants,Afternoon (12 PM - 5 PM); Morning (8 AM - 12 PM); Weekends any time,3-4 hours,Extremely important - food quality is a deciding factor,Mix of quick bites and proper meals,"Pasta Bolognese; Gelato; Italian Coffee (Espresso, Cappuccino); Caprese Salad; Lasagna; Pepperoni Pizza; Garlic Bread",Chow Mein; Kung Pao Chicken; Stir-fried Vegetables; Peking Duck; General Tso's Chicken; Dim Sum; Spring Rolls,"Specialty coffee drinks (Frappuccino, Latte); Tea (Regular/Specialty); Soft drinks (Coca-Cola, Pepsi, Sprite); Bubble tea; Coffee (Hot/Iced); Energy drinks (Red Bull, Monster)",Nuts/Trail mix; Burgers/Sliders; Sandwiches/Wraps,76-100 AED,Pay for what you consume (food + gaming time),36-45 AED,61-75 AED,501-700 AED,151-200 AED,Somewhat price sensitive - I consider price but not the only factor,Definitely not,"High-end gaming hardware (latest GPUs, processors); Comfortable seating and ergonomic setup; Quality food and beverage options; Social atmosphere and community; Private gaming rooms/VIP areas","Maybe, depends on pricing","Corporate team-building events; Tournament participation (cash prizes, trophies); Board game library; Kids gaming hours; VR gaming experiences",Not very likely,Ample parking availability; Near public transportation; In a mall or entertainment complex,Extremely interested - I would definitely visit regularly,Competitive gaming scene needs this,Once a week,Definitely yes,Combination of everything,Not enough variety in games,All-in-one entertainment destination,Faster internet is crucial
18-24,Female,Expat (Working Professional),Dubai,Full-time employed,"10,001 - 20,000",Bachelor's degree,Single,3-4,No,"Yes, occasionally (few times a month)",PlayStation (PS4/PS5); Xbox (One/Series X/S),"Retro/Classic arcade games; Casual/Party games (Mario Kart, Fall Guys, Among Us); VR games",2-3 times per week,2-5 hours,Gaming cafe/lounge,More than 10 times,0-50,Strangers/Online community; Friends (in-person),Skill improvement; Escapism/Immersion; Achievement/Progression,Moderately important,Once a week,Malls/Shopping centers; Shisha cafes; Sports/Fitness centers,Afternoon (12 PM - 5 PM); Morning (8 AM - 12 PM); Late night (9 PM - 2 AM),1-2 hours,Slightly important,Mix of quick bites and proper meals,Garlic Bread; Meat Lovers Pizza,Fried Rice (Chicken/Beef/Vegetable/Shrimp); Peking Duck; Orange Chicken,"Bubble tea; Tea (Regular/Specialty); Specialty coffee drinks (Frappuccino, Latte); Soft drinks (Coca-Cola, Pepsi, Sprite)",Cookies/Brownies; Sandwiches/Wraps,1-25 AED,"Fixed session pricing (e.g., 80 AED for 2 hours)",26-35 AED,30-45 AED,501-700 AED,101-150 AED,Very price sensitive - I look for best deals and discounts,Probably not,"Private gaming rooms/VIP areas; High-end gaming hardware (latest GPUs, processors); Tournament hosting and events; Extended operating hours (24/7 or late night); Affordable pricing","Yes, occasionally for special occasions","Ladies-only sessions; Board game library; Gaming leagues and ladders; Tournament participation (cash prizes, trophies)",Very likely,Surrounded by other F&B options; Safe neighborhood; Close to my home/workplace,Moderately interested - I would try it out and visit occasionally,Location and convenience matter most,Once a month,Maybe,Combination of everything,Not enough variety in games; Pricing might be too high,Convenient location,Comfortable seating is a must
18-24,Male,Expat (Working Professional),Sharjah,Part-time employed,"5,000 - 10,000",Diploma/Certificate,Single,1 (Live alone),No,"Yes, regularly (at least once a week)",PlayStation (PS4/PS5); Nintendo Switch,"Board games (physical or digital); First-person shooters (Call of Duty, Valorant, CS:GO); Battle Royale (Fortnite, PUBG, Apex Legends); VR games",Daily,16-20 hours,Multiple locations,More than 10 times,51-100,Alone; Friends (in-person),Achievement/Progression; Social interaction; Entertainment/Fun,Very important,2-3 times per month,Restaurants; Board game cafes,Weekends any time,2-3 hours,Not important - I'm only there for gaming,Self-service/Grab-and-go options,None of the above,None of the above,"Tea (Regular/Specialty); Water; Soft drinks (Coca-Cola, Pepsi, Sprite)",Chicken wings/tenders; Nachos with dips; Cookies/Brownies; Fresh fruit,1-25 AED,"Fixed session pricing (e.g., 80 AED for 2 hours)",15-25 AED,46-60 AED,501-700 AED,50-100 AED,Somewhat price sensitive - I consider price but not the only factor,Probably not,"High-end gaming hardware (latest GPUs, processors); Tournament hosting and events; Clean and well-maintained environment; Fast and stable internet connection; Variety of gaming platforms (PC, PS5, Xbox, Switch)",Not really interested,"Tournament participation (cash prizes, trophies); Kids gaming hours; Streaming setup for content creators; Esports coaching/Training sessions",Extremely likely,Safe neighborhood; In a mall or entertainment complex; Ample parking availability,Very interested - I would likely visit frequently,Premium equipment is exactly what I'm looking for,2-3 times per month,Definitely yes,Social environment and community,Pricing might be too high,Strong community and events,Have ladies-only hours
45-54,Male,Expat (Dependent),Dubai,Student,"5,000 - 10,000",High school or below,Married,3-4,"Yes, under 12 years old","Yes, regularly (at least once a week)",Mobile gaming; Nintendo Switch; PC/Laptop,"RPG/Adventure (Elden Ring, Zelda, Final Fantasy); Racing games (Gran Turismo, Forza); Sports games (FIFA, NBA 2K, F1); Simulation games (The Sims, Cities Skylines)",2-3 times per week,6-10 hours,At home,Never,Haven't visited,Alone; Family members; Organized teams/Clans,Entertainment/Fun; Escapism/Immersion; Achievement/Progression,Very important,Once a week,Shisha cafes; Board game cafes; Libraries/Co-working spaces; Bowling alleys/Entertainment centers; Gaming cafes/lounges,Late night (9 PM - 2 AM),4+ hours,Moderately important,Quick-service counter with delivery to gaming stations,"Vegetarian Pizza; Bruschetta; Pasta Bolognese; Pasta Arrabiata; Italian Coffee (Espresso, Cappuccino); Panna Cotta",Wontons; Fried Rice (Chicken/Beef/Vegetable/Shrimp); Chow Mein; Sweet and Sour Chicken; Manchurian (Chicken/Vegetable),"Sports drinks (Gatorade, Powerade); Bubble tea; Fresh juices; Coffee (Hot/Iced); Water; Energy drinks (Red Bull, Monster)",Burgers/Sliders; Sandwiches/Wraps; Candy/Chocolate; Popcorn; Chicken wings/tenders,76-100 AED,Monthly membership (unlimited access),26-35 AED,30-45 AED,501-700 AED,201-300 AED,Neutral - I balance price with experience quality,Maybe/Depends on quality,"High-end gaming hardware (latest GPUs, processors); Variety of gaming platforms (PC, PS5, Xbox, Switch); Tournament hosting and events; Extended operating hours (24/7 or late night); Comfortable seating and ergonomic setup","Yes, definitely - I'd use this regularly",VR gaming experiences; Board game library; Streaming setup for content creators; Gaming leagues and ladders; Kids gaming hours; Birthday party packages,Not very likely,Ample parking availability; Close to my home/workplace; In a mall or entertainment complex,Moderately interested - I would try it out and visit occasionally,Pricing flexibility is attractive,2-3 times per month,Maybe,Combination of everything,Location might not be convenient; Pricing might be too high; Limited operating hours,Strong community and events,Have ladies-only hours
35-44,Male,Expat (Working Professional),Dubai,Full-time employed,"20,001 - 35,000",Diploma/Certificate,Married,3-4,"Yes, under 12 years old","No, and not interested",None,None,Once a month or less,Less than 2 hours,Multiple locations,Once,0-50,None,None,Moderately important,2-3 times per month,Libraries/Co-working spaces; Cinemas; Malls/Shopping centers; Gaming cafes/lounges,Would not visit,1-2 hours,Very important,Quick-service counter with delivery to gaming stations,Pasta Alfredo; Lasagna; Vegetarian Pizza; Gelato; Margherita Pizza; Panna Cotta,Chow Mein; Kung Pao Chicken; Wontons; Noodle Soup,Milkshakes; Tea (Regular/Specialty),Nachos with dips; Sandwiches/Wraps; Pretzels,101-150 AED,Package deals (gaming hours + F&B combo),26-35 AED,61-75 AED,Not interested in membership,101-150 AED,Neutral - I balance price with experience quality,Probably yes,Clean and well-maintained environment; Quality food and beverage options; Extended operating hours (24/7 or late night); Social atmosphere and community; Affordable pricing,"Maybe, depends on pricing",Corporate team-building events; Birthday party packages,Very likely,In a mall or entertainment complex; Surrounded by other F&B options; Safe neighborhood,Moderately interested - I would try it out and visit occasionally,Combination of high-end gaming and quality food is unique,2-3 times per month,Probably yes,Quality food and dining experience,Limited operating hours; Might be too crowded/noisy,Better than gaming at home because of social aspect,None
18-24,Male,Expat (Working Professional),Dubai,Full-time employed,"35,001 - 50,000",Diploma/Certificate,Married,3-4,No,"Yes, regularly (at least once a week)",PC/Laptop; Tablet gaming,"Retro/Classic arcade games; Board games (physical or digital); Simulation games (The Sims, Cities Skylines); Strategy games (League of Legends, Dota 2, StarCraft)",2-3 times per week,6-10 hours,At home,2-5 times,51-100,Family members; Romantic partner,Competition and winning; Skill improvement; Achievement/Progression,Moderately important,Multiple times per week,"Regular cafes (Starbucks, Costa, local cafes); Gaming cafes/lounges; Libraries/Co-working spaces; Cinemas",Late night (9 PM - 2 AM); Weekends any time,3-4 hours,Moderately important,Quick-service counter with delivery to gaming stations,Panna Cotta; Margherita Pizza; Pepperoni Pizza; Bruschetta; Garlic Bread; Tiramisu,Fried Rice (Chicken/Beef/Vegetable/Shrimp); Hot and Sour Soup; General Tso's Chicken; Dumplings/Momos (Steamed/Fried); Stir-fried Vegetables; Manchurian (Chicken/Vegetable); Noodle Soup,"Bubble tea; Soft drinks (Coca-Cola, Pepsi, Sprite); Specialty coffee drinks (Frappuccino, Latte); Coffee (Hot/Iced); Energy drinks (Red Bull, Monster)",Pretzels; Cookies/Brownies; Candy/Chocolate,101-150 AED,Monthly membership (unlimited access),46-55 AED,76-90 AED,501-700 AED,151-200 AED,Not very price sensitive - I prioritize quality and experience,Definitely yes,"Strategic location and accessibility; High-end gaming hardware (latest GPUs, processors); Fast and stable internet connection; Quality food and beverage options; Social atmosphere and community","Maybe, depends on pricing",Board game library; VR gaming experiences; Kids gaming hours; Ladies-only sessions; Streaming setup for content creators; Retro arcade section,Not very likely,Close to my home/workplace; Surrounded by other F&B options; In a mall or entertainment complex,Extremely interested - I would definitely visit regularly,Location and convenience matter most,Multiple times per week,Probably yes,High-end gaming equipment,No major concerns,Premium experience worth the price,Partner with gaming brands
25-34,Female,Expat (Working Professional),Dubai,Full-time employed,"35,001 - 50,000",Bachelor's degree,Married,2,No,"Yes, rarely (few times a year)",Tablet gaming; PlayStation (PS4/PS5),"Battle Royale (Fortnite, PUBG, Apex Legends); RPG/Adventure (Elden Ring, Zelda, Final Fantasy)",Once a month or less,2-5 hours,At a friend's place,Never,Haven't visited,Romantic partner; Alone,Achievement/Progression; Story and narrative; Escapism/Immersion,Moderately important,Multiple times per week,"Gaming cafes/lounges; Cinemas; Bowling alleys/Entertainment centers; Shisha cafes; Regular cafes (Starbucks, Costa, local cafes)",Morning (8 AM - 12 PM); Afternoon (12 PM - 5 PM),1-2 hours,Very important,Quick-service counter with delivery to gaming stations,Panna Cotta; Caprese Salad; Pasta Alfredo; Garlic Bread; Pasta Bolognese; Vegetarian Pizza,Peking Duck; General Tso's Chicken; Stir-fried Vegetables; Hakka Noodles; Fried Rice (Chicken/Beef/Vegetable/Shrimp); Noodle Soup; Dumplings/Momos (Steamed/Fried); Manchurian (Chicken/Vegetable),"Milkshakes; Sports drinks (Gatorade, Powerade); Fresh juices",Fresh fruit; Pretzels,76-100 AED,Monthly membership (unlimited access),46-55 AED,76-90 AED,Not interested in membership,151-200 AED,Neutral - I balance price with experience quality,Probably yes,"Extended operating hours (24/7 or late night); High-end gaming hardware (latest GPUs, processors); Knowledgeable and helpful staff; Variety of gaming platforms (PC, PS5, Xbox, Switch); Quality food and beverage options","Yes, occasionally for special occasions",Board game library; Corporate team-building events; Ladies-only sessions,Somewhat likely,Surrounded by other F&B options; Ample parking availability; Near public transportation,Very interested - I would likely visit frequently,Location and convenience matter most,Once a week,Definitely yes,Combination of everything,Food quality might not justify the price; Might be too crowded/noisy,More comfortable and clean environment,Have ladies-only hours
35-44,Female,Expat (Student),Abu Dhabi,Student,"5,000 - 10,000",Diploma/Certificate,Prefer not to say,2,No,"Yes, rarely (few times a year)",Mobile gaming,"Racing games (Gran Turismo, Forza); RPG/Adventure (Elden Ring, Zelda, Final Fantasy)",Once a month or less,2-5 hours,Gaming cafe/lounge,6-10 times,0-50,Friends (online); Strangers/Online community,Escapism/Immersion; Entertainment/Fun; Competition and winning,Very important,Once a week,Sports/Fitness centers; Libraries/Co-working spaces; Cinemas,Afternoon (12 PM - 5 PM),1-2 hours,Very important,Quick-service counter with delivery to gaming stations,Caprese Salad; Pepperoni Pizza; Margherita Pizza; Pasta Carbonara; Gelato,Dumplings/Momos (Steamed/Fried); General Tso's Chicken; Spring Rolls; Dim Sum,"Bubble tea; Energy drinks (Red Bull, Monster); Smoothies",Nachos with dips; Chips/Crisps; Sandwiches/Wraps,26-50 AED,"Fixed session pricing (e.g., 80 AED for 2 hours)",26-35 AED,30-45 AED,Less than 300 AED,50-100 AED,Somewhat price sensitive - I consider price but not the only factor,Maybe/Depends on quality,"Private gaming rooms/VIP areas; Social atmosphere and community; Quality food and beverage options; Variety of gaming platforms (PC, PS5, Xbox, Switch); Extended operating hours (24/7 or late night)","Yes, occasionally for special occasions",Gaming leagues and ladders; Birthday party packages; Streaming setup for content creators,Somewhat likely,Close to my home/workplace; Safe neighborhood; Surrounded by other F&B options,Very interested - I would likely visit frequently,Combination of high-end gaming and quality food is unique,Once a week,Definitely yes,Quality food and dining experience,Might be too crowded/noisy,All-in-one entertainment destination,None
25-34,Male,UAE National,Dubai,Self-employed/Entrepreneur,"20,001 - 35,000",Master's degree,Single,2,No,"Yes, regularly (at least once a week)",PC/Laptop; Xbox (One/Series X/S); PlayStation (PS4/PS5); Nintendo Switch,"Battle Royale (Fortnite, PUBG, Apex Legends); First-person shooters (Call of Duty, Valorant, CS:GO); Racing games (Gran Turismo, Forza); Strategy games (League of Legends, Dota 2, StarCraft); Casual/Party games (Mario Kart, Fall Guys, Among Us); VR games",Daily,16-20 hours,Multiple locations,2-5 times,151-200,Strangers/Online community; Organized teams/Clans; Friends (in-person); Alone,Competition and winning; Escapism/Immersion; Stress relief/Relaxation,Moderately important,Once a week,"Regular cafes (Starbucks, Costa, local cafes); Cinemas; Malls/Shopping centers",Afternoon (12 PM - 5 PM),4+ hours,Slightly important,Quick-service counter with delivery to gaming stations,Pasta Carbonara; Bruschetta,Kung Pao Chicken; Sweet and Sour Chicken,"Water; Bubble tea; Specialty coffee drinks (Frappuccino, Latte); Fresh juices",Fresh fruit; Pretzels; Nachos with dips,51-75 AED,"All-day pass (e.g., 150 AED unlimited gaming)",46-55 AED,76-90 AED,501-700 AED,151-200 AED,Not very price sensitive - I prioritize quality and experience,Probably not,"Strategic location and accessibility; Extended operating hours (24/7 or late night); Comfortable seating and ergonomic setup; Tournament hosting and events; High-end gaming hardware (latest GPUs, processors)","Yes, occasionally for special occasions","Streaming setup for content creators; Kids gaming hours; Esports coaching/Training sessions; Ladies-only sessions; Tournament participation (cash prizes, trophies)",Very likely,Surrounded by other F&B options; Ample parking availability; Near public transportation,Very interested - I would likely visit frequently,Competitive gaming scene needs this,2-3 times per month,Probably yes,High-end gaming equipment,Location might not be convenient; Pricing might be too high,Unique atmosphere,Host regular tournaments
25-34,Male,Expat (Dependent),Dubai,Homemaker,"35,001 - 50,000",High school or below,Single,2,"Yes, above 18 years old","Yes, regularly (at least once a week)",PlayStation (PS4/PS5); PC/Laptop,"Battle Royale (Fortnite, PUBG, Apex Legends); Casual/Party games (Mario Kart, Fall Guys, Among Us); Board games (physical or digital); Simulation games (The Sims, Cities Skylines)",2-3 times per week,11-15 hours,At home,Never,Haven't visited,Alone; Strangers/Online community,Skill improvement; Entertainment/Fun; Story and narrative,Slightly important,Once a week,Malls/Shopping centers; Gaming cafes/lounges; Libraries/Co-working spaces; Restaurants; Board game cafes,Evening (5 PM - 9 PM); Weekends any time,3-4 hours,Extremely important - food quality is a deciding factor,Mix of quick bites and proper meals,Panna Cotta; Gelato; Pasta Arrabiata; Pepperoni Pizza; Tiramisu,Manchurian (Chicken/Vegetable); Stir-fried Vegetables; Sweet and Sour Chicken; Noodle Soup; Hot and Sour Soup; Kung Pao Chicken; General Tso's Chicken; Wontons,"Specialty coffee drinks (Frappuccino, Latte); Fresh juices; Sports drinks (Gatorade, Powerade); Soft drinks (Coca-Cola, Pepsi, Sprite); Energy drinks (Red Bull, Monster)",Nuts/Trail mix; Sandwiches/Wraps; Fresh fruit,51-75 AED,"Fixed session pricing (e.g., 80 AED for 2 hours)",26-35 AED,61-75 AED,300-500 AED,301-400 AED,Not very price sensitive - I prioritize quality and experience,Probably not,"High-end gaming hardware (latest GPUs, processors); Knowledgeable and helpful staff; Affordable pricing; Private gaming rooms/VIP areas; Clean and well-maintained environment","Yes, definitely - I'd use this regularly",Esports coaching/Training sessions; Board game library; VR gaming experiences; Birthday party packages; Corporate team-building events,Somewhat likely,Ample parking availability; Safe neighborhood; Near public transportation,Extremely interested - I would definitely visit regularly,Pricing flexibility is attractive,2-3 times per month,Probably yes,Combination of everything,Limited operating hours; Location might not be convenient,Strong community and events,Partner with gaming brands
